id,agency_id,status,created,sent,due_date,fullfilled_date,private,num_messages,contacts
283,33,Partially fulfilled,2014-01-23 15:48:48+00:00,2014-01-23 15:51:23+00:00,2014-02-21 15:51:23+00:00,None,True,1,33
284,34,Response received (but not complete),2014-01-23 16:03:15+00:00,2014-01-23 16:04:18+00:00,None,None,True,2,34
285,35,Response received (but not complete),2014-01-23 16:21:16+00:00,2014-01-23 16:22:42+00:00,None,None,True,2,35
286,36,Filed (Request sent),2014-01-23 16:28:25+00:00,2014-01-23 16:29:21+00:00,2014-02-03 16:29:21+00:00,None,True,1,36
287,37,Response received (but not complete),2014-01-23 16:34:03+00:00,2014-01-23 16:34:30+00:00,2014-02-13 16:34:30+00:00,None,True,5,37
288,38,Filed (Request sent),2014-01-23 16:36:47+00:00,2014-01-23 16:38:01+00:00,2014-01-30 16:38:01+00:00,None,True,6,38
289,39,Response received (but not complete),2014-01-23 16:41:50+00:00,2014-01-23 16:42:26+00:00,None,None,True,5,39
290,40,Response received (but not complete),2014-01-23 16:44:53+00:00,2014-01-23 16:45:59+00:00,2014-01-28 16:45:59+00:00,None,True,2,40
291,14,Incomplete,2014-01-23 17:44:50+00:00,None,None,None,True,0,
292,,Incomplete,2014-01-23 17:46:04+00:00,None,None,None,True,0,
293,16,Incomplete,2014-01-23 17:46:23+00:00,None,None,None,True,0,
294,41,Incomplete,2014-01-23 17:48:36+00:00,None,None,None,True,0,
295,29,Fulfilled,2014-01-23 19:17:18+00:00,2014-01-23 20:55:22+00:00,2014-02-13 20:55:22+00:00,2014-05-02 22:18:42+00:00,False,2,41
296,10,Filed (Request sent),2014-01-24 04:45:53+00:00,2014-01-24 05:03:00+00:00,2014-02-24 05:03:00+00:00,None,True,1,
297,27,New (Unsent),2014-01-24 05:11:48+00:00,None,None,None,True,0,26
298,43,Incomplete,2014-01-24 17:16:24+00:00,None,None,None,True,0,43
299,43,Incomplete,2014-01-24 17:34:02+00:00,None,None,None,True,0,43
300,,Incomplete,2014-01-24 17:36:35+00:00,None,None,None,True,0,
301,42,Denied,2014-01-24 18:51:37+00:00,2014-01-24 18:53:43+00:00,2014-01-31 18:53:43+00:00,None,True,2,42
302,,Incomplete,2014-01-24 22:32:26+00:00,None,None,None,True,0,
303,44,Response received (but not complete),2014-01-24 23:07:44+00:00,2014-01-28 14:38:34+00:00,2014-03-12 14:38:34+00:00,None,True,4,44
304,1,New (Unsent),2014-01-26 05:35:25+00:00,None,None,None,True,0,5
308,45,Fulfilled,2014-01-28 14:35:13+00:00,2014-01-28 14:41:27+00:00,2014-01-31 14:41:27+00:00,2014-02-04 05:00:00+00:00,True,1,45
309,46,Filed (Request sent),2014-01-28 15:04:54+00:00,2014-01-28 15:06:16+00:00,2014-02-26 15:06:16+00:00,None,True,1,46
310,17,Incomplete,2014-01-28 18:20:54+00:00,None,None,None,True,0,21
311,46,New (Unsent),2014-01-28 18:20:57+00:00,None,None,None,True,0,46
312,35,Incomplete,2014-01-28 18:21:09+00:00,None,None,None,True,0,35
313,45,Incomplete,2014-01-28 18:40:18+00:00,None,None,None,True,0,45
314,,Incomplete,2014-01-28 18:54:15+00:00,None,None,None,True,0,
315,40,New (Unsent),2014-01-28 18:54:16+00:00,None,None,None,True,0,40
316,1,Deleted,2014-01-28 20:03:41+00:00,None,None,None,True,0,4
317,47,Filed (Request sent),2014-01-29 00:18:40+00:00,2014-01-29 15:02:15+00:00,2014-02-07 15:02:15+00:00,None,True,4,47
318,48,Fulfilled,2014-01-29 02:58:09+00:00,2014-01-29 15:07:33+00:00,2014-02-05 15:07:33+00:00,2014-03-05 22:45:36+00:00,True,1,48
319,10,Fulfilled,2014-01-29 16:01:30+00:00,2014-01-29 16:05:17+00:00,2014-02-27 16:05:17+00:00,2014-02-21 16:42:20+00:00,True,1,
320,48,Incomplete,2014-01-29 16:11:33+00:00,None,None,None,True,0,
321,33,New (Unsent),2014-01-29 16:11:41+00:00,None,None,None,True,0,33
322,,Incomplete,2014-01-29 19:55:55+00:00,None,None,None,True,0,
323,,Deleted,2014-01-30 05:26:20+00:00,None,None,None,True,0,
324,,Deleted,2014-01-30 05:44:29+00:00,None,None,None,True,0,
325,49,Deleted,2014-01-30 06:07:56+00:00,None,None,None,True,0,49
326,49,Fulfilled,2014-01-30 06:08:30+00:00,2014-01-30 06:44:43+00:00,2014-02-28 06:44:43+00:00,2014-11-25 06:17:01+00:00,True,1,49
327,45,Incomplete,2014-01-30 18:52:23+00:00,None,None,None,True,0,
328,51,Filed (Request sent),2014-01-30 18:53:42+00:00,2014-01-30 19:01:31+00:00,2014-02-06 19:01:31+00:00,None,True,3,50
329,,Incomplete,2014-01-30 22:06:32+00:00,None,None,None,True,0,
330,52,Incomplete,2014-01-30 22:13:19+00:00,None,None,None,True,0,
331,,Incomplete,2014-01-30 22:14:10+00:00,None,None,None,True,0,
332,,Incomplete,2014-01-30 22:14:50+00:00,None,None,None,True,0,
333,52,Incomplete,2014-01-30 22:14:57+00:00,None,None,None,True,0,
334,53,Filed (Request sent),2014-01-31 16:45:38+00:00,2014-01-31 16:47:36+00:00,2014-02-14 16:47:36+00:00,None,True,2,"51,52"
335,54,Incomplete,2014-01-31 17:12:06+00:00,None,None,None,True,0,
336,54,Incomplete,2014-01-31 17:19:20+00:00,None,None,None,True,0,53
